Problem,Algorithm,Best_Fitness_Mean,Best_Fitness_Std,Best_Fitness_Median,Best_Fitness_Q25,Best_Fitness_Q75,Execution_Time_Mean,Execution_Time_Std,Feasible_Rate_%,Acceptable_Rate_%,Median_J@50%,Median_J@75%,Median_J@100%,overshoot_mean,overshoot_std,overshoot_median,overshoot_q25,overshoot_q75,rise_time_mean,rise_time_std,rise_time_median,rise_time_q25,rise_time_q75,settling_time_mean,settling_time_std,settling_time_median,settling_time_q25,settling_time_q75,steady_state_error_mean,steady_state_error_std,steady_state_error_median,steady_state_error_q25,steady_state_error_q75,final_angle_mean,final_angle_std,final_angle_median,final_angle_q25,final_angle_q75,max_angle_mean,max_angle_std,max_angle_median,max_angle_q25,max_angle_q75,final_error1_mean,final_error1_std,final_error1_median,final_error1_q25,final_error1_q75,final_error2_mean,final_error2_std,final_error2_median,final_error2_q25,final_error2_q75,mean_abs_error1_mean,mean_abs_error1_std,mean_abs_error1_median,mean_abs_error1_q25,mean_abs_error1_q75,mean_abs_error2_mean,mean_abs_error2_std,mean_abs_error2_median,mean_abs_error2_q25,mean_abs_error2_q75,total_iae_mean,total_iae_std,total_iae_median,total_iae_q25,total_iae_q75
ПИД-регулятор двигателя,PSO,0.0791871896634211,1.6116999060635817e-12,0.07918718966293403,0.07918718966222986,0.07918718966392119,29.974569404125212,3.3858162327458325,100.0,100.0,0.07918719030236113,0.07918718968227555,0.07918718966293403,0.0681085947679394,3.059408083138347e-08,0.06810859054282581,0.06810858109342899,0.0681086059167113,0.5410821643286572,1.1102230246251565e-16,0.5410821643286573,0.5410821643286573,0.5410821643286573,0.8817635270541082,0.0,0.8817635270541082,0.8817635270541082,0.8817635270541082,1.760086688062934e-07,2.8284790651743864e-13,1.7600870794165502e-07,1.7600856550004096e-07,1.7600879545498493e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПИД-регулятор двигателя,GWO,0.07944165814758787,0.00022175470452180378,0.07935820302318039,0.07926741960133432,0.07959783058024139,28.729141616821288,1.899627517381235,100.0,100.0,0.07947034707679418,0.0794097460048897,0.07935820302318039,0.06142832145581756,0.007239952422536213,0.06273165727952446,0.057779507512029094,0.06603515362653689,0.5410821643286572,1.1102230246251565e-16,0.5410821643286573,0.5410821643286573,0.5410821643286573,0.8857715430861723,0.004908797079725813,0.8817635270541082,0.8817635270541082,0.8917835671342685,1.2910786139630482e-07,4.4656656248850336e-08,1.3632758033566006e-07,1.0719870427444711e-07,1.5966739286277232e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПИД-регулятор двигателя,WOA,0.11315197839434725,0.07339656024382474,0.07927448500921537,0.07918718981939554,0.09072656305079063,29.191135859489442,1.8585283065054323,100.0,85.0,0.07927453403275293,0.07927448779671009,0.07927448500921537,0.055039698117407276,0.030245440908077174,0.06810506327717958,0.04792901681888173,0.0681077114129347,0.6608216432865731,0.2351290529549417,0.5410821643286573,0.5410821643286573,0.62374749498998,1.129759519038076,0.4837290452118515,0.8817635270541082,0.8817635270541082,1.0521042084168335,9.990965727449952e-05,0.00023729004526612735,1.760280209373022e-07,1.6827172238942367e-07,3.2159243384954905e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПИД-регулятор двигателя,HHO,0.13508130342437732,0.05847460368481353,0.1295600210008019,0.07936052053082086,0.17372817418311642,22.726254642009735,1.990377569473627,100.0,95.0,0.13828522267468732,0.1333764314101118,0.1295600210008019,0.028951517603604815,0.022695261924019924,0.023350458466775414,0.015130045523525926,0.040119421569118074,0.783066132264529,0.22774991242665926,0.8116232464929859,0.5410821643286573,0.9719438877755511,1.3857715430861723,0.4707297095915346,1.4478957915831663,0.8817635270541082,1.7785571142284569,7.443645200109206e-05,0.00014881002684759352,1.5928734483749984e-05,3.964743838791307e-07,7.582465119043702e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ПИД-регулятор двигателя,SMA,0.08003068169943163,0.001303362216374967,0.07944445994200365,0.07921196385987699,0.08037778746389863,22.347508227825166,0.08166168827851926,100.0,100.0,0.08094033083480913,0.08005268270123445,0.07944445994200365,0.05830022881246122,0.03829796817363619,0.06434095662828376,0.026212560898508652,0.07848675236808433,0.5455911823647293,0.009224425170101195,0.5410821643286573,0.5410821643286573,0.5410821643286573,0.8907815631262526,0.020264276970096858,0.8817635270541082,0.8817635270541082,0.8817635270541082,3.16768533864531e-07,2.64047209127255e-07,2.2253089931867365e-07,1.1746298977932668e-07,4.763751819680806e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Балансировка маятника,PSO,0.06273882563054232,0.005499927857386974,0.0609989849254487,0.06099895979405463,0.060999094348239594,3.640991275960749,1.4828481063301977,55.00000000000001,55.00000000000001,0.0616919436048633,0.06100379953974281,0.0609989849254487,,,,,,,,,,,,,,,,,,,,,0.0006197002501682623,0.00038486949828963474,0.0004949123181844156,0.0004933331334003497,0.000498761185354675,0.1,0.0,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Балансировка маятника,GWO,0.07580700081843754,0.04682603045603428,0.060999343577985594,0.06099913905470718,0.060999486517043844,11.290910764174027,3.5217566039340817,55.00000000000001,55.00000000000001,0.06103213534667154,0.061016132572865284,0.060999343577985594,,,,,,,,,,,,,,,,,,,,,0.0006711087183884009,0.0005653325354674626,0.0004962095369722272,0.0004885020264778938,0.0004985861207652494,0.1,0.0,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Балансировка маятника,WOA,0.06656734767804665,0.0,0.06656734767804665,0.06656734767804665,0.06656734767804665,11.310888290405273,0.0,5.0,5.0,0.06695546072269247,0.06668289254039937,0.06656734767804665,,,,,,,,,,,,,,,,,,,,,0.00020380697395512584,0.0,0.00020380697395512584,0.00020380697395512584,0.00020380697395512584,0.1,0.0,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Балансировка маятника,HHO,0.09114602925192,0.008285230099813065,0.09114602925192,0.08700341420201346,0.09528864430182654,8.021963119506836,0.4424610137939453,10.0,10.0,0.09233702639070475,0.09205390105431045,0.09114602925192,,,,,,,,,,,,,,,,,,,,,0.0001426086373384321,1.632833527538143e-05,0.0001426086373384321,0.00013444446970074138,0.0001507728049761228,0.1,0.0,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Балансировка маятника,SMA,0.06571683953673405,0.010253644339726949,0.06260975013930406,0.06162449306873172,0.06439415670009278,1.1058569252490997,0.1310109528169301,80.0,80.0,0.06827781631143226,0.06352462220944438,0.06260975013930406,,,,,,,,,,,,,,,,,,,,,0.0002983127581340102,0.0002843013357153882,0.0001524414051686022,0.0001103627387996006,0.0003987918121452391,0.1,0.0,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
